Hosting Party Songs,Artist,BPM,No Artist Listed,Genre (r),Key,Loudness (dB),Rhythm,genre_clean
F.n.f,glorilla,157.0,,pop,C# Major,-10.0,4/4,pop
Gas pedal,sage the gemini,98.0,,rap,C# Major,-8.0,4/4,hip hop
back dat azz up,Juvenile / lil wayne,96.0,,hip-hop,G Major,-7.0,4/4,hip hop
the boy is mine,Ariana Grande,98.0,,pop,G Minor,-6.0,4/4,pop
Bussin ,Money Bagg,175.0,,rap,D Major,-4.0,4/4,hip hop
Candy,Plan B,96.0,,reggaeton,B Minor,-4.0,4/4,latin music
cyclone ,Baby Bash,78.0,,pop,B Major,-5.0,4/4,pop
Illusion ,Ross Lynch,73.0,,pop,D# Minor,-6.0,4/4,pop
Baile Inolvidable,Bad Bunny,119.0,,reggaeton,Bb Major,-46.0,4/4,latin music
Si Antes Te Hubiera Conocideo,Karol G,128.0,,reggaeton,B Major,-7.0,4/4,latin music
Wont Cry,Amber Mark,120.0,,r&b,F Minor,-5.0,4/4,r&b
Wired,Ella Eyre,125.0,,house,A Minor,-5.0,4/4,electronic
Bouncin',Tinashe,83.0,,r&b,C Major,-6.0,4/4,r&b
All the stars,Kendrick / Sza,97.0,,hip-hop,Ab Major,-5.0,4/4,hip hop
Titi me pregunto ,Bad Bunny,107.0,,reggaeton,F Minor,-5.0,4/4,latin music
Deep in it ,Berlioz,119.0,,jazz,D# Minor,-12.0,4/4,jazz
brezzy (inst.),Rollercoaster,200.0,,rock,B Minor,-10.0,4/4,metal/rock
Invocation ,Phi-psonics,114.0,,jazz,E Minor,-13.0,4/4,jazz
Memory box,Peter cat recording co,128.0,,indian indie,G Major,-12.0,4/4,indie
take five ,Dave Brubeck quartet,174.0,,jazz,Ab Minor,-13.0,5/4,jazz
clarity,Zedd,128.0,,edm,Ab Major,-3.0,4/4,electronic
intentalo,3BallMTY,132.0,,tribal guarachero,A Major,-5.0,4/4,latin music
porque El Amor Manda,America sierra,132.0,,regional mexicano,Bb Minor,-6.0,4/4,latin music
La cumbia Tribalera,El Peron de Mikrophone,134.0,,cumbia,C Minor,-6.0,4/4,latin music
Sao Paulo,the Weekend/Anitta,127.0,,brazilian funk,F Minor,-7.0,4/4,latin music
Trap Queen,Fetty Wap,148.0,,trap,G Major,-4.0,4/4,hip hop
Roses,Chainsmokers,100.0,,pop,E Major,-7.0,4/4,pop
Passionfruit,Drake,112.0,,r&b,B Major,-11.0,4/4,r&b
love me harder ,Ariana Grande,99.0,,pop,C# Minor,-4.0,4/4,pop
My way,fetty wap,128.0,,rap,Gb Major,-3.0,4/4,hip hop
maneater,Nelly Furtado,133.0,,pop,Gb Major,-5.0,4/4,pop
Sos,Rihanna,137.0,,pop,G Major,-5.0,4/4,pop
Kiss me thru the phone,Soulja Boy,150.0,,pop,G Major,-4.0,4/4,pop
Rock that Body,Black eyed peas,125.0,,pop,G Minor,-6.0,4/4,pop
So Easy ,Olivia Dean,140.0,,pop,D# Major,-6.0,4/4,pop
New drop,Don Toliver,120.0,,rap,E Minor,-7.0,4/4,hip hop
Thats what I like,Bruno Mars,134.0,,hip-hop,Db Major,-5.0,4/4,hip hop
Promiscuous ,Nelly Furtado,114.0,,pop,Bb minor,-6.0,4/4,pop
Down,Jay Sean,132.0,,pop,D Major,-4.0,4/4,pop
We are the people ,Empire of the sun,123.0,,pop,E Minor,-5.0,4/4,pop
My Love,Justin timberlake,120.0,,r&b,B Minor,-6.0,4/4,r&b
the way I are,tibaland,115.0,,pop,Gb Major,-6.0,4/4,pop
Dare,Gorillaz,120.0,,pop,B Minor,-6.0,4/4,pop
Sugar on my Tongue,Tyler the creator,126.0,,pop,B Major,-7.0,4/4,pop
Party in the USA,Miley Cyrus,96.0,,pop,Bb Minor,-5.0,4/4,pop
California Gurls,Katy Perry,125.0,,pop,C Major,-4.0,4/4,pop
Call me maybe,Carly Rae Jepsen,120.0,,pop,G Major,-7.0,4/4,pop
Fergilicious,Fergie,129.0,,pop,Ab Minor,-8.0,4/4,pop
Toxic,Britney spears,143.0,,pop,F Minor,-4.0,4/4,pop
Dashstar,Knock 2,126.0,,house,A Major,-3.0,4/4,electronic
smack talk,ISOxo,140.0,,edm,Bb Major,-2.0,4/4,electronic
E85,Don Toliver,132.0,,rap,B Minor,-4.0,4/4,hip hop
secondhand,Don Toliver,144.0,,rap,Ab Minor,-6.0,4/4,hip hop
Dont stop the party,Pitbull,127.0,,pop,E Major,-4.0,4/4,pop
perdoname,Factoria,95.0,,reggaeton,A Minor,-6.0,4/4,latin music
Borro cassette,Maluma,176.0,,reggaeton,F Minor,-6.0,4/4,latin music
si no le contesto,plan b,95.0,,reggaeton,C# Minor,-5.0,4/4,latin music
I gotta feeling,black eye peas,128.0,,pop,C Major,-6.0,4/4,pop
meet me halfway,black eye peas,130.0,,pop,B Minor,-7.0,4/4,pop
die young ,kesha,128.0,,pop,C# Minor,-5.0,4/4,pop
Donttrustme,30H!3,130.0,,house,F Minor,-4.0,4/4,electronic
Good time,owl city,126.0,,pop,Eb Major,-4.0,4/4,pop
latch,disclosure,122.0,,pop,C# Major,-5.0,4/4,pop
doses&mimosas,cherub,122.0,,pop,F Major,-7.0,4/4,pop
saving up,dom dolla,130.0,,house,Eb Minor,-6.0,4/4,electronic
habits,Tove lo,110.0,,pop,F Major,-4.0,4/4,pop
