Naturalistic Obsercation Songs,Artist,BPM,No Artist Listed,Genre (r),Column 1,Key,Loudness (dB),Rhythm
Oh La La ,Justine Skye and Kaytranada,120,,dance/electronic,,D Major,-9,4/4
Millionaire, Andre 3000 and Kelis,176,,contempoary R&B / pop rap,,B Major,-7,4/4
Inferno ,JMSN,125,,R&B / Soul,,C# Major,-5,4/4
Come Together ,The Internet,96,,Psychadelic Soul,,C Minor,-8,4/4
I'm a Rock,Jitwam,111,,Psychadelic Soul,,C# Major,-7,4/4
Same Damn Time ,Future,70,,Trap / Gansta Rap,,B Major,-5,4/4
Clarity ,Zedd,128,,Festival Progressive House / electropop / electrohous,,Ab Major,-3,4/4
Hot in Herre ,Nelly,107,,pop rap,,B Minor,-5,4/4
505,Arctic Monkeys,140,,post-punk revival,,C Major,-6,4/4
Come Together ,The Beatles,84,,Blues Rock,,A Minor,-12,4/4
Valerie ,Amy Winehouse,214,,pop soul / R&B / jazz pop,,F Minor,-8,4/4
Tongue Tied ,Grouplove,113,,indie pop / inditronica / electropop,,Eb Major,-6,4/4
party ,Bad Bunny,97,,Reggaeton ,,A Major,-5,4/4
titi me pregunto ,Bad Bunny,107,,Dembow,,F Minor,-5,4/4
Exesos ,Fuerza Regida,83,,Regional Mexicano,,C Minor,-6,3/4
Que pasaria,Rauw Alejandro,105,,Reggaeton / Latin Urban,,B Minor,-4,4/4
lokera ,Rauw Alejandro,102,,Reggaeton ,,B Minor,-3,4/4
la bebe ,Peso Pluma,170,,Reggaeton ,,D Minor,-6,4/4
Vamo a bailotear ,Cris Mj,98,,Reggaeton ,,F# Minor,-11,4/4
Tacata ,Fuerza Regida,105,,Regional Mexicano,,A Major,-6,4/4
Voy a llevarte pa PR ,Bad Bunny,120,,Voy a llevarte pa PR ,,G Major,-35,4/4
Nuevayol ,Bad Bunny,118,,Dembow,,F# Major,-20,4/4
