Pre Party Songs,Artist,BPM,No Artist Listed,Genre (r),Key,Loudness (dB),Rhythm
Ayee Ladies ,Travis Potter,96,,hip-hop,,-4,4/4
Killen you hoes,Trina,91,,hip-hop,,-6,4/4
Freakum dress,Beyonce,99,,R&B,,-5,4/4
Get it Sexyy,Sexy Red,145,,hip-hop,,-6,4/4
Where have you been,Rhianna,128,,pop,,-6,4/4
EoO,Bad Bunny,64,,reggaeton,,-30,"4/4 beat, but vocals are sang in 6/4"
No Broke Boys,Tinashe,104,,electro,,-7,4/4
Papacito,Karol G,117,,Tencho-merengue,,-3,mixed answers
Break Free,Zedd/ ariana grande,130,,EDM,,-5,4/4
No hands ,Waka Flocka,131,,hip-hop,,-6,mixed
OMG,Usher/ Will.I.am,130,,pop,,-6,4/4
Blackout,,,X,,,,
Blame it ,,,X,,,,
Issues,,,X,,,,
DtMF,Bad Bunny,136,,reggaeton,,-27,4/4
Luther,Kendrink/Sza,138,,R&B,,-8,4/4
Man I need ,Olivia Dean,119,,pop,,-7,4/4
Raindance,tems and dave,107,,hip-hop,,-7,mixed
"girl, get up. ",doechii/Sza,93,,hip-hop,,-7,4/4
hangang ,hoody,109,,R&B,,-6,4/4
The exit,Conan Gray,82,,pop,,-10,4/4
In my Room ,Julia Wolf,160,,Alternative,,-5,4/4
Let Down,Radiohead,102,,Rock,,-9,4/4
Would you fall in love with me again,epic the musical ,148,,Musical Theater,,-7,4/4
she will be loved ,Maroon 5,102,,pop,,-6,4/4
Trap queen,Fetty Wap,148,,hip-hop,,-4,4/4
Roses,Chainsmokers,100,,pop,E Major,-7,4/4
Clarity ,Zedd,128,,House,Ab Major,-3,4/4
Passionfruit,Drake,112,,R&B,,-11,4/4
Love me Harder,ariana Grande,99,,pop,,-4,4/4
High life,Daft Punk,125,,House,,-9,4/4
We are people ,Empire of the sun,123,,pop,,-5,4/4
Stockholm Syndrome,Muse,128,,Alternative Metal,,-5,4/4
Loving machine,TV girl,90,,pop,,-10,4/4
La puerta,Luis Miguel,82,,Bolero,,,4/4
Sorry,Justin Bieber,100,,pop,,-4,4/4
Theres nothing holdin' me back,Shawn Mendez,122,,pop,,-4,4/4
Promises,Calvin Harris,123,,House,,-6,4/4
Be the one,Dua Lipa,175,,pop,,-4,4/4
Baby se nota,Milo Mae,90,,dembow,,-5,4/4
Talking body,Tove Lo,120,,pop,,-5,4/4
Best to you,Blood Orange,125,,pop,,-9,12/8 or 4/4 with strong triplets
One night only,Sonder,120,,R&B,,-6,4/4
Cant get over you,Joji,130,,R&B,,-9,4/4
Again,,,X,,,,
My Way,,,X,,,,
Flash,,,X,,,,
Time of our Lives ,Pitbull,124,,pop,,-6,4/4
Kiss me thru the phone,Soulja Boy,150,,pop,,-4,4/4
everything is embarassing,Sky Ferreira,117,,pop,,-6,4/4
Von Dutch,Charli XCX,130,,House,,-6,4/4
Intentalo,3BallMTY,132,,Tribal,A Major,-5,4/4
stateside,Pink Panthress,123,,breakbeat,,-6,4/4
Poster Boy,2hollis,111,,pop,,-1,4/4
Irreplaceable,Beyonce,176,,R&B,,-5,4/4
Can't remember to forget you,Shakira/Rhianna,138,,pop,,-4,4/4
inolvidable,Reik,140,,pop,,-4,4/4
chantaje ,Shakira/Maluma,102,,pop,,-3,4/4
You,Romeo Santos,132,,bachata,,-8,4/4
On Melancholy Hill,Gorillaz,120,,pop,,-6,4/4
Love Me Not,,,X,,,,
Head in a Jar,khamari,110,,R&B,,-7,4/4
Someone to Call my Lover,Janet Jackson,128,,R&B,,-4,4/4
House Tour,Sabrina Carpenter,118,,pop,,-5,4/4
Last Night,Ricky Montgomery,138,,Rock,,-4,4/4
So Hot you're hurting my feelings,Caroline Polachek,112,,pop,,-5,4/4
Stacy's Mom,Fountains of Wayne,118,,pop,,-5,4/4
i'll take it,sohia stel,130,,dance/electronic,,-10,4/4
27a pitfield st,bass victim,129,,pop,,-3,4/4
been like this,doja cat,99,,R&B,,-5,4/4
like a taxi,cece natalie,101,,pop,,-9,4/4
21+,slyy stone,153,,trap,,-6,unknown
g-rave,jake shore / rockie fresh / cyndee with a c,158,,dance/electronic,,-6,4/4
klatch,apaki,150,,dance/electronic,,-2,4/4
photo ID,remi wolf / dominic fike,116,,R&B,,-5,4/4
tit for tat,tate mcrae,84,,trap,,-5,4/4
sticky,"tyler, the creator",80,,hip-hop,,-4,4/4
denial is a river,doechii,93,,boom bap,,-3,4/4
daisies,x,x,,,,,
i wanna love you,akon / snoop dogg,100,,pop,,-9,4/4
nissan altima,doechii,117,,hip-hop,,-5,4/4
a couple minutes,olivia dean,125,,pop,,-8,4/4
who knows,daniel caesar,121,,R&B,,-15,4/4
garden,SZA,111,,R&B,,-7,4/4
,,,,,,,
do i wanna know (cover),hozier,137,,Rock,,-11,4/4
time to pretend,MGMT,101,,indie,,-3,4/4
spin bout you,drake / 21 savage,130,,trap,,-6,4/4
loveeeeeee song,rhianna,120,,R&B,,-6,4/4
danza kuduro,don omar / lucenzo,89,,electronic,,-5,4/4
i love it,icona pop / charli xcx,126,,pop,,-3,4/4
22,taylor swift,104,,pop,,-7,4/4
,,,,,,,
golden,huntrx,123,,pop,,-4,3/4
idol,BTS,126,,pop,,-3,4/4
bleed,malcolm todd / omar opollo,124,,R&B,,-7,4/4
midnight sun,zara larsson,151,,pop,,-5,4/4
,,,,,,,
more than music,mirrar,165,,pop,,-9,4/4
easter pink,fakemink,116,,pop,,-7,4/4
Cuando no era cantante,el bogueto,166,,reggaeton,,-6,4/4
after hours,kehlani,121,,R&B,,-4,4/4
folded,kehlani,136,,R&B,,-7,4/4
ansiedad,fuerza regida,107,,Corridos,,-8,3/4
fue mejor,kali uchis / sza,104,,R&B,,-7,4/4
Ahora Es,winsin / yandel,96,,reggaeton,,-6,4/4
baddie baddie,ice spice,143,,pop,,-7,4/4
besame,camila,174,,pop,,-8,3/4
big and chunky,will.i.am,120,,pop,,-7,4/4
bongos,megan thee stallion / cardi b,122,,Rap,,-5,4/4
california gurls,katy perry,125,,pop,,-4,4/4
shots,LMFAO,128,,pop,,-2,4/4
time of our lives,pitbull,124,,pop,,-6,4/4
don't stop the party,pitbull,127,,pop,,-4,4/4
boys a liar pt 2,pink panthress / ice spice,133,,pop,,-8,4/4
smokin out the window,silk sonic,82,,pop,,-9,4/4
helicopter ,A$AP Rocky,134,,Rap,,-4,4/4
punk rocky,A$AP Rocky,140,,Rap,,-4,4/4
E85,Don Toliver,132,,Rap,,-4,4/4
starships,nicki minaj,125,,pop,,-2,4/4
S&M,rhianna,128,,pop,,-5,4/4
gimme more,Britney Spears,113,,pop,,-3,4/4
maneater,Nelly Furtado,133,,pop,,-5,4/4
beat up chanel$,slayyyter,134,,pop,,-5,4/4
sexonthebeat,adela,127,,Electronic,,-4,4/4
coconut,sailorr,88,,pop,,-11,4/4
down bad,sailorr,97,,Alternative,,-8,4/4
redo,crankdat,146,,Dubstep,,-3,4/4
kiss + touch,rad cat,140,,Alternative,,-7,4/4
scene before the kiss xoxo,horsegirrL / himera,160,,Indie,,-8,4/4
got me started,troye sivan,127,,pop,,-7,4/4
just your doll,snow strippers,141,,Electroclash,,-2,4/4
just dance,Lady Gaga,119,,pop,,-5,4/4
how2fuck,ayesha erotica,123,,pop,,-3,4/4
constant repeat,charli xcx,126,,pop,,-6,4/4
TiK ToK,Kesha,120,,pop,,-3,4/4
tonight,pink panthress ,141,,pop,,-5,4/4
no scrubs,TLC,93,,pop,,-4,4/4
telephone,Lady Gaga,122,,pop,,-6,4/4
perdoname,deorro,128,,pop,,-3,4/4
needy,ariana grande,87,,pop,,-8,4/4
beso al aire,3BallMTY,132,,Regional Mexicano,,-4,4/4
better off alone,Alice Deejay,137,,pop,,-6,4/4
earrings,Malcolm Todd,80,,pop,,-9,4/4
se preparo,ozuna,171,,reggaeton,,-4,4/4
tu name,fuerza regida,129,,Banda,,-5,3/4
rubicon,peso pluma,140,,Banda,,-7,3/4
cora de hielo,ROZ,130,,EDM,,-4,4/4
disturbia,Rhianna,125,,pop,,-5,4/4
Her,Megan thee stallion,120,,House,,-5,4/4
from the back ,Ayesha Erotica,128,,Rap,,-5,4/4
Worthy,Megan thee stallion,120,,pop,,-4,4/4
the way I are,Timbaland,115,,pop,,-6,4/4
Diva,Beyonce,146,,pop,,-7,4/4
Rabiosa,Shakira,133,,pop,,-5,4/4
You Make Me Feel,Cobra Starship,132,,pop,,-3,4/4
Ah We Ah,Ahmed Mounib,80,,pop,,-14,4/4
After the Beep,Faye Wong,96,,pop,,-10,4/4
Le Le Dine,Ciwan Haco,104,,pop,,-10,4/4
,,,,,,,
,Median:,124,,,Median:,-6,
,Max:,176,,,Max:,-1,
,Min:,64,,,Min:,-30,
,Mode:,128,,,Mode:,-5,
,Average/mean:,121.75,,,Average/mean:,-6.143835616,
