Pre Party Songs,Artist,BPM,No Artist Listed,Genre (r),Key,Loudness (dB),Rhythm
Ayee Ladies ,Travis Potter,96,, Hip-hop / Rap / R&B,,-4,4/4/2026
Killen you hoes,Trina,91,,Hip-hop / Rap,,-6,4/4/2026
Freakum dress,Beyonce,99,,R&B / Hip-hop,,-5,4/4/2026
Get it Sexyy,Sexy Red,145,,Hip-Hop / Trap,,-6,4/4/2026
Where have you been,Rhianna,128,,"Dance-Pop, Electro House",,-6,4/4/2026
EoO,Bad Bunny,64,, Reggaeton,,-30,"4/4 beat, but vocals are sang in 6/4"
No Broke Boys,Tinashe,104,,"Electro, Dance",,-7,4/4/2026
Papacito,Karol G,117,,Tencho-merengue,,-3,mixed answers
Break Free,Zedd/ ariana grande,130,,"EDM, Dance-Pop",,-5,4/4/2026
No hands ,Waka Flocka,131,,"Hip-hop, Rap",,-6,mixed
OMG,Usher/ Will.I.am,130,,Dance-Pop / Synth-Pop,,-6,4/4/2026
Blackout,,,X,,,,
Blame it ,,,X,,,,
Issues,,,X,,,,
DtMF,Bad Bunny,136,,Reggaeton (plena),,-27,4/4/2026
Luther,Kendrink/Sza,138,,"R&B, Hip-hop, Soul",,-8,4/4/2026
Man I need ,Olivia Dean,119,,Pop,,-7,4/4/2026
Raindance,tems and dave,107,,Hip-hop,,-7,mixed
"girl, get up. ",doechii/Sza,93,,"Hip-hop, Rap",,-7,4/4/2026
hangang ,hoody,109,,"K-R&B, Pop",,-6,4/4/2026
The exit,Conan Gray,82,,Pop,,-10,4/4/2026
In my Room ,Julia Wolf,160,,"Alternative, Indie-Pop",,-5,4/4/2026
Let Down,Radiohead,102,,Alternative-Rock,,-9,4/4/2026
Would you fall in love with me again,epic the musical ,148,,"Musical Theater, Pop-Opera, Film ost",,-7,4/4/2026
she will be loved ,Maroon 5,102,,Pop,,-6,4/4/2026
Trap queen,Fetty Wap,148,,"Hip-hop, Rap",,-4,4/4/2026
Roses,Chainsmokers,100,,"Dance-Pop, EDM",E Major,-7,4/4/2026
Clarity ,Zedd,128,,"Electro House, Dance-Pop",Ab Major,-3,4/4/2026
Passionfruit,Drake,112,,"Contemporary R&B, Pop",,-11,4/4/2026
Love me Harder,ariana Grande,99,,"Synth-Pop, Contemporary R&B",,-4,4/4/2026
High life,Daft Punk,125,,Frecnh House,,-9,4/4/2026
We are people ,Empire of the sun,123,,Synth-Pop / Indie Pop / Electropop,,-5,4/4/2026
Stockholm Syndrome,Muse,128,,"Alternative metal, Rock",,-5,4/4/2026
Loving machine,TV girl,90,,Indie Pop / Bedroom Pop / Synth Pop,,-10,4/4/2026
La puerta,Luis Miguel,82,,"Bolero (slow-tempo, romantic Latin)",,,4/4/2026
Sorry,Justin Bieber,100,,Pop,,-4,4/4/2026
Theres nothing holdin' me back,Shawn Mendez,122,,Dance-Pop,,-4,4/4/2026
Promises,Calvin Harris,123,,"House, Dance-Pop",,-6,4/4/2026
Be the one,Dua Lipa,175,,synthpop / alt-pop / contemporary R&B,,-4,4/4/2026
Baby se nota,Milo Mae,90,,dembow / urbano latino,,-5,4/4/2026
Talking body,Tove Lo,120,,dance-pop / electropop / alt-pop,,-5,4/4/2026
Best to you,Blood Orange,125,,synthpop / alt-pop / alternative R&B,,-9,12/8 or 4/4 with strong triplets
One night only,Sonder,120,,R&B / Soul,,-6,4/4/2026
Cant get over you,Joji,130,,alternative R&B,,-9,4/4/2026
Again,,,X,,,,
My Way,,,X,,,,
Flash,,,X,,,,
Time of our Lives ,Pitbull,124,,pop rap / dance-pop / hip house,,-6,4/4/2026
Kiss me thru the phone,Soulja Boy,150,,pop rap / electropop / futristic swag,,-4,4/4/2026
everything is embarassing,Sky Ferreira,117,,synthpop / alt-pop,,-6,4/4/2026
Von Dutch,Charli XCX,130,,electro house / electropop / dance-pop,,-6,4/4/2026
Intentalo,3BallMTY,132,,Tribal,A Major,-5,4/4/2026
stateside,Pink Panthress,123,,breakbeat / dance-pop,,-6,4/4/2026
Poster Boy,2hollis,111,,electropop,,-1,4/4/2026
Irreplaceable,Beyonce,176,,contemporary R&B,,-5,4/4/2026
Can't remember to forget you,Shakira/Rhianna,138,,pop rock,,-4,4/4/2026
inolvidable,Reik,140,,latin pop / rop rock,,-4,4/4/2026
chantaje ,Shakira/Maluma,102,,latin pop / reggaeton,,-3,4/4/2026
You,Romeo Santos,132,,bachata / latin pop,,-8,4/4/2026
On Melancholy Hill,Gorillaz,120,,synthpop / indietronica,,-6,4/4/2026
Love Me Not,,,X,,,,
Head in a Jar,khamari,110,,contemporary R&B / neo-soul,,-7,4/4/2026
Someone to Call my Lover,Janet Jackson,128,,contemporary R&B / dance-pop,,-4,4/4/2026
House Tour,Sabrina Carpenter,118,,bubblegum pop / dance-pop,,-5,4/4/2026
Last Night,Ricky Montgomery,138,,alternative/indie rock / pop-rock,,-4,4/4/2026
So Hot you're hurting my feelings,Caroline Polachek,112,,synthpop / soft rock / new wave,,-5,4/4/2026
